1  , 0, 1.00
4  , 0, 1.00
5  , 0, 0.90
10 , 0, 0.90
11 , 0, 0.70
20 , 0, 0.70
21 , 0, 0.50
50 , 0, 0.50
51 , 0, 0.10
100, 0, 0.10
1  , 1, 1.10
4  , 1, 1.10
5  , 1, 1.00
10 , 1, 1.00
11 , 1, 0.80
20 , 1, 0.80
21 , 1, 0.60
50 , 1, 0.60
51 , 1, 0.20
100, 1, 0.20
1  , 2, 1.10
4  , 2, 1.10
5  , 2, 1.00
10 , 2, 1.00
11 , 2, 0.80
20 , 2, 0.80
21 , 2, 0.60
50 , 2, 0.60
51 , 2, 0.20
100, 2, 0.20
1  , 3, 1.20
4  , 3, 1.20
5  , 3, 1.10
10 , 3, 1.10
11 , 3, 0.90
20 , 3, 0.90
21 , 3, 0.70
50 , 3, 0.70
51 , 3, 0.30
100, 3, 0.30
